"TABLE_NAME","통계행수","통계수집일","개인정보컬럼수","컬럼목록"
SC_LOG_202505,133263,2025-05-26 22:00:12.000,1,TR_PHONE
IC2_JOB_PRM_APP,128233,2023-11-10 22:00:07.000,2,"EMAIL, HP"
SC_LOG_202508,122458,2025-08-29 22:00:05.000,1,TR_PHONE
V_USR_INF,113794,2026-08-24 22:00:07.000,5,"EMAIL, HP, POST, SEX, TEL"
COM_COMP_INF,104128,2020-05-04 22:00:05.000,6,"HP, PRSN_EMAIL, PRSN_HP, PRSN_TEL, TEL, ZIP"
V_USR_INF_20230905,103864,2023-09-05 22:00:03.000,5,"EMAIL, HP, POST, SEX, TEL"
SC_LOG_202606,100801,2026-06-30 22:00:07.000,1,TR_PHONE
V_USR_INF_20230116,100705,2023-01-16 22:00:03.000,5,"EMAIL, HP, POST, SEX, TEL"
V_USR_INF_20221104,100688,2022-11-04 22:00:06.000,5,"EMAIL, HP, POST, SEX, TEL"
SC_LOG_202509,94960,2025-09-29 22:00:08.000,1,TR_PHONE
V_USR_INF_20200604,94114,2020-06-04 22:00:06.000,5,"EMAIL, HP, POST, SEX, TEL"
SC_LOG_202504,91328,2025-04-29 22:00:11.000,1,TR_PHONE
SC_LOG_202501,79924,2025-01-23 22:00:12.000,1,TR_PHONE
EP_PRM_APP,68046,2026-06-12 22:00:13.000,2,"EMAIL, HP"
SC_LOG_202510,46360,2025-10-27 22:00:08.000,1,TR_PHONE
SC_LOG_202412,38133,2024-12-31 22:00:13.000,1,TR_PHONE
SC_LOG_202605,32351,2026-05-26 22:00:07.000,1,TR_PHONE
SC_LOG_202506,30547,2025-06-27 22:00:11.000,1,TR_PHONE
SC_LOG_202503,30045,2025-03-26 22:00:11.000,1,TR_PHONE
SC_LOG_202604,29162,2026-04-22 22:00:13.000,1,TR_PHONE
SC_LOG_202409,27940,2024-09-24 22:00:09.000,1,TR_PHONE
EP_PRM_APP_20230921,23747,2023-09-21 22:00:06.000,2,"EMAIL, HP"
SC_LOG_202309,22856,2023-09-21 22:00:08.000,1,TR_PHONE
SC_LOG_202209,20581,2022-09-23 22:00:06.000,1,TR_PHONE
EP_PRM_APP_20230322,20570,2023-03-22 22:00:03.000,2,"EMAIL, HP"
SC_LOG_202507,20443,2025-07-29 22:00:04.000,1,TR_PHONE
SC_LOG_202512,19438,2025-12-24 22:00:07.000,1,TR_PHONE
SC_LOG_202410,18283,2024-10-24 22:00:09.000,1,TR_PHONE
JOBSMASTER,17339,2026-08-17 22:00:11.000,2,"ADDRESS, EMAIL"
SC_LOG_202211,16744,2022-11-22 22:00:10.000,1,TR_PHONE
SC_LOG_202311,16647,2023-11-30 22:00:10.000,1,TR_PHONE
SC_LOG_202607,15906,2026-07-27 22:00:08.000,1,TR_PHONE
SC_LOG_202608,15051,2026-08-20 22:00:07.000,1,TR_PHONE
SC_LOG_202308,13273,2023-08-31 22:00:09.000,1,TR_PHONE
SC_LOG_202204,12409,2022-04-27 22:00:09.000,1,TR_PHONE
SC_LOG_202511,12284,2025-11-28 22:00:08.000,1,TR_PHONE
SC_LOG_202103,11365,2021-03-30 22:00:06.000,1,TR_PHONE
SC_LOG_202208,10655,2022-08-26 22:00:08.000,1,TR_PHONE
SC_LOG_202312,9811,2023-12-29 22:00:08.000,1,TR_PHONE
SC_LOG_202405,9433,2024-05-26 14:01:18.000,1,TR_PHONE
SC_LOG_202310,8903,2023-10-30 22:00:11.000,1,TR_PHONE
SC_LOG_202411,8220,2024-11-29 22:00:14.000,1,TR_PHONE
SC_LOG_202601,7582,2026-01-27 22:00:09.000,1,TR_PHONE
SC_LOG_202304,7401,2023-04-26 22:00:09.000,1,TR_PHONE
SC_LOG_202404,7245,2024-04-29 22:00:05.000,1,TR_PHONE
SC_LOG_202210,6824,2022-10-31 22:00:11.000,1,TR_PHONE
SC_LOG_202011,6608,2020-11-25 22:00:08.000,1,TR_PHONE
SC_LOG_202407,6562,2024-07-23 22:00:09.000,1,TR_PHONE
SC_LOG_202403,6467,2024-03-28 22:00:16.000,1,TR_PHONE
SC_LOG_202303,6016,2023-03-31 22:00:11.000,1,TR_PHONE
SC_LOG_202205,5879,2022-05-29 10:02:17.000,1,TR_PHONE
SC_LOG_202603,5755,2026-03-26 22:00:07.000,1,TR_PHONE
SY_BD_DATA,5527,2026-08-11 22:00:09.000,1,EMAIL
SC_LOG_202301,5014,2023-01-25 22:00:06.000,1,TR_PHONE
SC_LOG_202111,4918,2021-11-30 22:00:06.000,1,TR_PHONE
SC_LOG_202305,4880,2023-05-30 22:00:08.000,1,TR_PHONE
SC_LOG_202307,4680,2023-07-28 22:00:11.000,1,TR_PHONE
SC_LOG_202408,4615,2024-08-30 22:00:10.000,1,TR_PHONE
SC_LOG_202012,4510,2020-12-31 22:00:10.000,1,TR_PHONE
SC_LOG_202104,4359,2021-04-29 22:00:15.000,1,TR_PHONE
SC_LOG_202212,4232,2022-12-28 22:00:12.000,1,TR_PHONE
SC_LOG_202010,4175,2020-10-28 22:00:04.000,1,TR_PHONE
SC_LOG_202602,4119,2026-02-24 22:00:08.000,1,TR_PHONE
SC_LOG_202106,3999,2021-06-30 22:00:44.000,1,TR_PHONE
SC_LOG_202406,3946,2024-06-26 22:00:13.000,1,TR_PHONE
SC_LOG_202306,3912,2023-06-26 22:00:09.000,1,TR_PHONE
SC_LOG_202206,3749,2022-06-30 22:00:11.000,1,TR_PHONE
SC_LOG_202110,3673,2021-10-29 22:00:12.000,1,TR_PHONE
SC_LOG_202201,3668,2022-01-18 22:00:02.000,1,TR_PHONE
SC_LOG_202101,3647,2021-01-29 22:00:12.000,1,TR_PHONE
SC_LOG_202401,3608,2024-01-30 22:00:08.000,1,TR_PHONE
SC_LOG_202112,3237,2021-12-28 22:00:10.000,1,TR_PHONE
SC_LOG_202207,3214,2022-07-28 22:00:07.000,1,TR_PHONE
SC_LOG_202105,3119,2021-05-30 18:08:27.000,1,TR_PHONE
SC_LOG_202009,3077,2020-09-28 22:00:08.000,1,TR_PHONE
SC_LOG_202108,2864,2021-08-31 22:00:06.000,1,TR_PHONE
SC_LOG_202109,2680,2021-09-27 22:00:06.000,1,TR_PHONE
SC_LOG_202203,2421,2022-03-29 22:00:12.000,1,TR_PHONE
SC_LOG_202008,1956,2020-08-31 22:00:07.000,1,TR_PHONE
SC_LOG_202102,1666,2021-02-10 22:00:02.000,1,TR_PHONE
SC_LOG_202107,1221,2021-07-28 22:00:06.000,1,TR_PHONE
IC2_JOB_PRM,1105,2023-11-09 22:00:07.000,2,"EMAIL, TEL"
SC_LOG_202202,1093,2022-02-22 22:00:11.000,1,TR_PHONE
SC_LOG_202302,953,2023-02-28 22:00:04.000,1,TR_PHONE
SC_LOG_202007,909,2020-07-30 22:00:11.000,1,TR_PHONE
EP_PRM,825,2026-08-20 22:00:13.000,1,TEL
SC_LOG_202402,724,2024-02-26 22:00:03.000,1,TR_PHONE
ALBAMASTER,636,2025-04-21 22:00:07.000,2,"ADDRESS, EMAIL"
SC_LOG_202502,477,2025-02-28 22:00:08.000,1,TR_PHONE
SS_JOB_RES_HISTORY,275,2025-01-09 22:00:07.000,5,"EMAIL, HP, JUMIN, TEL, ZIP"
SS_JOB_RES,270,2025-01-09 22:00:07.000,5,"EMAIL, HP, JUMIN, TEL, ZIP"
COM_CPRT_MEBR,268,2026-08-14 22:00:10.000,4,"POST, PRSN_POST, PRSN_TEL, TEL"
JOB_RES,232,2025-02-02 22:00:17.000,5,"EMAIL, HP, JUMIN, TEL, ZIP"
EP_PRM_CHARGE,217,2026-08-14 22:00:10.000,1,CH_TEL
TB_MENTOR_INFO,212,2026-03-13 22:00:11.000,3,"EMAIL, HP, SEX"
TB_CARR_USER,206,2026-07-29 22:00:13.000,1,SEX_DC
V_USR_INF_DUP_INF,116,2025-03-08 06:00:07.000,5,"EMAIL, HP, POST, SEX, TEL"
V_USR_INF_DUP_INF_20230116,95,2023-01-16 22:00:03.000,5,"EMAIL, HP, POST, SEX, TEL"
TB_CARR_USER_MIG,69,2025-07-14 22:00:05.000,1,SEX_DC
V_USR_INF_TMP,39,2020-11-10 22:00:05.000,5,"EMAIL, HP, POST, SEX, TEL"
TB_CARR_GJOB_PGM_APLC_MIG,28,2025-07-14 22:00:05.000,1,TEL_NO
COM_CON_INF,26,2026-07-06 22:00:05.000,3,"APP_TEL, EMAIL, TEL"
SC_TRAN,13,2026-08-24 22:00:03.000,1,TR_PHONE
EP_PRM_GROUP,6,2025-04-23 22:00:02.000,2,"SUB_EMAIL, SUB_TEL"
EP_PRM_BD_DATA,4,2023-01-18 22:00:07.000,1,EMAIL
RE_REC_INFO,3,2021-01-13 22:00:05.000,6,"ADD_HP, ADD_MAIL, ADD_SEX, CAR_SEX, MNG_EMAIL, MNG_TEL"
SC_LOG_202006,0,2020-07-01 22:00:06.000,1,TR_PHONE
SC_LOG_202005,0,2020-07-01 22:00:06.000,1,TR_PHONE
RE_REC_REC_APP,0,2020-05-04 22:00:04.000,2,"EMAIL, HP"
REC_INFO,0,2020-05-04 22:00:04.000,6,"ADD_HP, ADD_MAIL, ADD_SEX, CAR_SEX, MNG_EMAIL, MNG_TEL"
EP_PRM_TRGT_OUTSIDER,0,2020-06-10 22:00:12.000,3,"BIRTH, GENDER, PHONE_NUM"
COM_COMP_PRSN,0,2020-05-04 22:00:03.000,3,"PRSN_EMAIL, PRSN_HP, PRSN_TEL"
V_USR_SCORE,0,2020-05-04 22:00:05.000,5,"EMAIL, HP, POST, SEX, TEL"
COM_CPRT_MEBR_PRSN,0,2020-05-04 22:00:03.000,2,"PRSN_POST, PRSN_TEL"
COM_HAKJUK,0,2020-05-04 22:00:03.000,2,"EMAIL, HJ_SEX"
COM_NORMAL_USER_INFO,0,2020-05-04 22:00:03.000,2,"EMAIL, HP"
CO_ADV_APP,0,2020-05-04 22:00:03.000,2,"EMAIL, TEL"
SC_LOG_202609,0,2026-08-01 06:00:02.000,1,TR_PHONE
SM_MEMBER,0,2020-05-04 22:00:04.000,3,"COMP_TEL, EMAIL, MEMBER_TEL"
CO_AREA_YOUTH,0,2020-05-04 22:00:03.000,2,"REQ_SEX, REQ_TEL"
TB_CARR_INTG_ETR,0,2025-05-15 22:00:11.000,2,"EMAIL, ETR_ADDR"
V_EP_PRM_STEP_ALL,,,1,TEL
EP_PRM_STEP_MAX_20250301,,,1,TEL
EP_PRM_STEP_MAX,,,1,TEL
V_EP_PRM,,,1,TEL
EP_PRM_STEP_ALL_20250301,,,1,TEL
V_EP_PRM_STEP_MAX,,,1,TEL
EP_PRM_STEP_ALL,,,1,TEL
