"TABLE_NAME","통계행수","통계수집일"
BASICSETTING_20230420,238627,2023-04-20 22:00:03.000
BASICSETTING_20230314,218241,2023-03-14 22:00:06.000
BASICSETTING_20230206,191896,2023-02-06 22:00:05.000
BASICSETTING_20220915,175714,2022-09-16 22:00:06.000
IC2_JOB_PRM_APP,128233,2023-11-10 22:00:07.000
CON_PROF_INFO_20220908,122436,2022-09-08 22:00:03.000
COM_COMP_INF,104128,2020-05-04 22:00:05.000
V_USR_INF_20230905,103864,2023-09-05 22:00:03.000
V_USR_INF_20230116,100705,2023-01-16 22:00:03.000
V_USR_INF_20221104,100688,2022-11-04 22:00:06.000
CON_PROF_INFO_20210316,97343,2021-03-16 22:00:07.000
V_USR_INF_20200604,94114,2020-06-04 22:00:06.000
CON_PROF_INFO_FILE_MIG,85716,2020-09-07 22:00:05.000
CON_PROF_INFO_MIG,85680,2020-09-04 22:00:03.000
IC2_PA_GOAL_DATA,58152,2023-11-10 22:00:07.000
COUNSEL_MASTER_MIG,39312,2020-06-14 22:04:05.000
FU_PURPOSE_ADD_JOB,29979,2024-05-07 22:00:09.000
EP_PRM_APP_20230921,23747,2023-09-21 22:00:06.000
SC_LOG_202309,22856,2023-09-21 22:00:08.000
SC_LOG_202209,20581,2022-09-23 22:00:06.000
EP_PRM_APP_20230322,20570,2023-03-22 22:00:03.000
SC_LOG_202211,16744,2022-11-22 22:00:10.000
SC_LOG_202311,16647,2023-11-30 22:00:10.000
SC_LOG_202308,13273,2023-08-31 22:00:09.000
SC_LOG_202204,12409,2022-04-27 22:00:09.000
ST_GOAL,11560,2024-05-26 18:01:25.000
SC_LOG_202103,11365,2021-03-30 22:00:06.000
CO_ADVISER_20210928,10995,2021-09-28 22:00:06.000
CO_ADVISER_20220914,10990,2022-09-14 22:00:06.000
ST_CAR_STAT_REPORT,10889,2021-12-20 22:00:11.000
SC_LOG_202208,10655,2022-08-26 22:00:08.000
STU_COURSE_INFO_20221107,10123,2022-11-07 22:00:06.000
SC_LOG_202312,9811,2023-12-29 22:00:08.000
SC_LOG_202405,9433,2024-05-26 14:01:18.000
CO_ADVISER_MIG,9123,2020-08-13 22:00:05.000
SC_LOG_202310,8903,2023-10-30 22:00:11.000
SC_LOG_202304,7401,2023-04-26 22:00:09.000
SC_LOG_202404,7245,2024-04-29 22:00:05.000
SC_LOG_202210,6824,2022-10-31 22:00:11.000
SC_LOG_202011,6608,2020-11-25 22:00:08.000
SC_LOG_202407,6562,2024-07-23 22:00:09.000
SC_LOG_202403,6467,2024-03-28 22:00:16.000
SC_LOG_202303,6016,2023-03-31 22:00:11.000
SC_LOG_202205,5879,2022-05-29 10:02:17.000
SC_LOG_202301,5014,2023-01-25 22:00:06.000
SC_LOG_202111,4918,2021-11-30 22:00:06.000
SC_LOG_202305,4880,2023-05-30 22:00:08.000
SC_LOG_202307,4680,2023-07-28 22:00:11.000
SC_LOG_202012,4510,2020-12-31 22:00:10.000
ST_CAR_STAT_REPORT_HIST,4383,2021-12-20 22:00:09.000
CON_PROF_INFO_MIG_2020,4373,2020-06-26 22:00:06.000
SC_LOG_202104,4359,2021-04-29 22:00:15.000
SC_LOG_202212,4232,2022-12-28 22:00:12.000
SC_LOG_202010,4175,2020-10-28 22:00:04.000
SC_LOG_202106,3999,2021-06-30 22:00:44.000
SC_LOG_202406,3946,2024-06-26 22:00:13.000
SC_LOG_202306,3912,2023-06-26 22:00:09.000
SY_CODE_20240328,3867,2024-03-28 22:00:06.000
SC_LOG_202206,3749,2022-06-30 22:00:11.000
SC_LOG_202110,3673,2021-10-29 22:00:12.000
SC_LOG_202201,3668,2022-01-18 22:00:02.000
SC_LOG_202101,3647,2021-01-29 22:00:12.000
SC_LOG_202401,3608,2024-01-30 22:00:08.000
SC_LOG_202112,3237,2021-12-28 22:00:10.000
SC_LOG_202207,3214,2022-07-28 22:00:07.000
SC_LOG_202105,3119,2021-05-30 18:08:27.000
SC_LOG_202009,3077,2020-09-28 22:00:08.000
TEMP_CALENDAR,2922,2020-05-04 22:00:05.000
SC_LOG_202108,2864,2021-08-31 22:00:06.000
